iter	MultiClass
259	2.938516705
260	2.937209922
261	2.936014651
262	2.935142691
263	2.933921848
264	2.932451786
265	2.931238368
266	2.930400338
267	2.928925737
268	2.927468348
269	2.925869676
270	2.925025791
271	2.923966949
272	2.923030106
273	2.921599282
274	2.920693205
275	2.919566676
276	2.918398072
277	2.917312354
278	2.91641206
279	2.915246384
280	2.914286039
281	2.912981881
282	2.911793809
283	2.91105723
284	2.909894711
285	2.908884271
286	2.90766328
287	2.906795358
288	2.905673158
289	2.904073538
290	2.90331446
291	2.902201414
292	2.901220627
293	2.900072515
294	2.89833555
295	2.897328791
296	2.896066918
297	2.894952399
298	2.893540898
299	2.892476811
300	2.891588617
301	2.890895784
302	2.89001002
303	2.889150721
304	2.888114945
305	2.886993342
306	2.88634116
307	2.885113039
308	2.883716621
309	2.88151432
310	2.880601488
311	2.879848702
312	2.879391366
313	2.878402024
314	2.876226138
315	2.875552794
316	2.874167292
317	2.873052348
318	2.871639998
319	2.870509339
320	2.869463034
321	2.86859856
322	2.867877965
323	2.867183576
324	2.865619498
325	2.864990547
326	2.863951219
327	2.86232263
328	2.861287968
329	2.860326829
330	2.859937535
331	2.859307251
332	2.858206432
333	2.857295807
334	2.855652616
335	2.854455147
336	2.852900583
337	2.851568169
338	2.850437074
339	2.849887415
340	2.848900423
341	2.848348026
342	2.847498099
343	2.845833383
344	2.84482507
345	2.843951594
346	2.843203514
347	2.842558597
348	2.841661467
349	2.840684051
350	2.839978867
351	2.839019552
352	2.83758746
353	2.836474955
354	2.834700246
355	2.833285958
356	2.832612949
357	2.83211778
358	2.830891401
359	2.830155618
360	2.8291353
361	2.828380275
362	2.827374216
363	2.826096604
364	2.825329701
365	2.824543161
366	2.823565196
367	2.821408043
368	2.820596093
369	2.819420656
370	2.818149174
371	2.817614428
372	2.817082751
373	2.816240781
374	2.815306142
375	2.814253144
376	2.81358796
377	2.812708513
378	2.81187927
379	2.810731696
380	2.809334486
381	2.807609997
382	2.806838576
383	2.806020877
384	2.805053574
385	2.804090585
386	2.803614474
387	2.803064134
388	2.802235771
389	2.801246013
390	2.800692312
391	2.798781854
392	2.797542437
393	2.796988894
394	2.794824215
395	2.793910106
396	2.793317629
397	2.792333891
398	2.79175075
399	2.790679317
400	2.789740256
401	2.789004733
402	2.788534664
403	2.787596749
404	2.786873396
405	2.786243822
406	2.78487951
407	2.783861474
408	2.782867903
409	2.782220865
410	2.781581032
411	2.780417813
412	2.779675013
413	2.779331827
414	2.778694397
415	2.777959537
416	2.776439475
417	2.775426529
418	2.774930012
419	2.774260044
420	2.773581119
421	2.772908644
422	2.77205372
423	2.771094797
424	2.770509947
425	2.769681717
426	2.769077075
427	2.768300162
428	2.767584329
429	2.766804419
430	2.765976688
431	2.76490515
432	2.764281905
433	2.763686836
434	2.762837474
435	2.761491674
436	2.760494031
437	2.759158211
438	2.758227747
439	2.756970995
440	2.756348579
441	2.755230964
442	2.75467372
443	2.753500263
444	2.752915042
445	2.751152826
446	2.750556039
447	2.749630445
448	2.749107523
449	2.748120961
450	2.746810592
451	2.745719995
452	2.744207027
453	2.743447095
454	2.742367293
455	2.741761878
456	2.740763678
457	2.740074842
458	2.739277156
459	2.738612874
460	2.737799094
461	2.737050672
462	2.736183205
463	2.735831147
464	2.735001352
465	2.734068103
466	2.732757686
467	2.732190485
468	2.73117359
469	2.730652928
470	2.729904123
471	2.729383392
472	2.728056108
473	2.727178962
474	2.726670427
475	2.726134468
476	2.725399269
477	2.724839411
478	2.723871032
479	2.723539938
480	2.722535215
481	2.721657483
482	2.721024258
483	2.720130614
484	2.719528
485	2.718600482
486	2.717952962
487	2.717344278
488	2.716604264
489	2.716125998
490	2.715687182
491	2.714660269
492	2.714054802
493	2.71336896
494	2.712578436
495	2.7117007
496	2.710883216
497	2.710071225
498	2.709320929
499	2.708620123
500	2.70798907
501	2.707288046
502	2.706502836
503	2.705643313
504	2.7052714
505	2.704704506
506	2.704229437
507	2.70358352
508	2.703147631
509	2.702308554
510	2.701677499
511	2.701066738
512	2.700508707
513	2.699819338
514	2.698428374
515	2.698077546
516	2.697693819
517	2.697167016
518	2.696186294
519	2.695241168
520	2.694763618
521	2.693843107
522	2.693377701
523	2.692852493
524	2.692188007
525	2.691255918
526	2.690598945
527	2.689858617
528	2.688907465
529	2.688246026
530	2.68770577
531	2.687082585
532	2.686303517
533	2.685784882
534	2.685126861
535	2.684276681
536	2.68355427
537	2.682531179
538	2.681980308
539	2.680791895
540	2.680165921
541	2.679183122
542	2.678588731
543	2.67813383
544	2.677468311
545	2.676914772
546	2.676306521
547	2.67579447
548	2.674911918
549	2.674481932
550	2.674032931
551	2.673294114
552	2.672818865
553	2.671942246
554	2.671631871
555	2.670844568
556	2.66994122
557	2.668822817
558	2.668358957
559	2.666962602
560	2.666298506
561	2.665699933
562	2.665239436
563	2.664408684
564	2.663703846
565	2.662880484
566	2.661854133
567	2.661335792
568	2.660375045
569	2.659952628
570	2.659560836
571	2.659254861
572	2.65852783
573	2.65815638
574	2.65756859
575	2.656873473
576	2.656248053
577	2.655494747
578	2.65494176
579	2.654643632
580	2.654012332
581	2.653341763
582	2.652922672
583	2.652111934
584	2.651542266
585	2.651130231
586	2.650743702
587	2.650012873
588	2.649713283
589	2.649090223
590	2.648237918
591	2.647428171
592	2.6468303
593	2.645456982
594	2.644700524
595	2.643946555
596	2.643430764
597	2.642824579
598	2.642369852
599	2.641818702
600	2.641270771
601	2.640861602
602	2.640226929
603	2.63979859
604	2.639224154
605	2.638895716
606	2.638211533
607	2.637720878
608	2.637280706
609	2.636932951
610	2.636406025
611	2.63581363
612	2.635168818
613	2.634692653
614	2.634099791
615	2.633390536
616	2.63287925
617	2.632551134
618	2.632125035
619	2.631135168
620	2.630528693
621	2.630184875
622	2.629726568
623	2.629165246
624	2.628500399
625	2.627738095
626	2.627237981
627	2.626354387
628	2.625497489
629	2.624805325
630	2.624248976
631	2.623872875
632	2.622997679
633	2.622622227
634	2.622154113
635	2.621818046
636	2.621319591
637	2.620824371
638	2.620324195
639	2.61977049
640	2.619344661
641	2.618832619
642	2.618412911
643	2.616559561
644	2.61554085
645	2.615126575
646	2.614727677
647	2.614257155
648	2.613944373
649	2.613741711
650	2.613358162
651	2.61300351
652	2.612704151
653	2.611821166
654	2.611253683
655	2.610774147
656	2.610183093
657	2.609300544
658	2.608814699
659	2.608399989
660	2.60791758
661	2.607624002
662	2.60665727
663	2.605836465
664	2.605110367
665	2.604512995
666	2.603986026
667	2.603334713
668	2.602669658
669	2.602265373
670	2.600846519
671	2.6001573
672	2.599620101
673	2.598980588
674	2.598566803
675	2.5980349
676	2.597642885
677	2.597261828
678	2.596583214
679	2.596059466
680	2.595631777
681	2.595386402
682	2.594992662
683	2.594374688
684	2.593900899
685	2.593457588
686	2.592961796
687	2.592413557
688	2.591930216
689	2.591153047
690	2.590315829
691	2.589600739
692	2.589082572
693	2.588623955
694	2.588009578
695	2.587523265
696	2.587058351
697	2.586322627
698	2.585886573
699	2.585427965
700	2.584357421
701	2.583883292
702	2.583551808
703	2.583243327
704	2.582680269
705	2.581805759
706	2.581607177
707	2.581042096
708	2.580617306
709	2.579947738
710	2.579563145
711	2.578877843
712	2.578264042
713	2.57750263
714	2.576856613
715	2.57644105
716	2.576203228
717	2.575530194
718	2.574874543
719	2.574217744
720	2.572792271
721	2.57236618
722	2.571793629
723	2.571023712
724	2.570495048
725	2.570069053
726	2.569586393
727	2.569074871
728	2.56832805
729	2.567357438
730	2.567020354
731	2.566595769
732	2.565967534
733	2.565511736
734	2.564976199
735	2.564416877
736	2.563806326
737	2.563450573
738	2.562715804
739	2.562015666
740	2.561626094
741	2.561091669
742	2.56062965
743	2.560254462
744	2.559657403
745	2.559212933
746	2.558893235
747	2.558345496
748	2.557977871
749	2.557652359
750	2.556242886
751	2.555612582
752	2.55511456
753	2.554757755
754	2.554242597
755	2.553765631
756	2.553354414
757	2.552318707
758	2.551749964
759	2.551350652
760	2.551158245
761	2.550722211
762	2.550242182
763	2.549323108
764	2.548855772
765	2.548359161
766	2.547907511
767	2.547513427
768	2.54701558
769	2.546446525
770	2.54596163
771	2.545618334
772	2.54509711
773	2.544785633
774	2.544190997
775	2.54342724
776	2.542630826
777	2.542264802
778	2.541767637
779	2.541435304
780	2.540741794
781	2.540249707
782	2.539692428
783	2.539268389
784	2.5386149
785	2.538217534
786	2.537937837
787	2.537741287
788	2.537250828
789	2.536803048
790	2.536373453
791	2.535843724
792	2.535428787
793	2.534860144
794	2.53437913
795	2.534062559
796	2.533651657
797	2.533040549
798	2.532619928
799	2.532134751
800	2.531758866
801	2.531003823
802	2.530400383
803	2.528801198
804	2.528453593
805	2.527972416
806	2.527597479
807	2.527122643
808	2.52681984
809	2.52636968
810	2.525879804
811	2.525534278
812	2.525059631
813	2.52456037
814	2.524105486
815	2.523577739
816	2.523338841
817	2.52268751
818	2.522195278
819	2.521730032
820	2.521344888
821	2.520663441
822	2.520211738
823	2.519831492
824	2.519128958
825	2.518713706
826	2.518067755
827	2.517703945
828	2.517220787
829	2.516815445
830	2.516483178
831	2.515934065
832	2.515570435
833	2.515131787
834	2.514778514
835	2.514251551
836	2.513893429
837	2.513305505
838	2.512844188
839	2.512127719
840	2.511633378
841	2.511161715
842	2.510811207
843	2.51053267
844	2.51008896
845	2.509492959
846	2.509163015
847	2.508606319
848	2.508175694
849	2.507716386
850	2.50727836
851	2.506968512
852	2.506593246
853	2.50627739
854	2.505613893
855	2.504085256
856	2.503173232
857	2.502609149
858	2.50194535
859	2.501625445
860	2.500902051
861	2.500076755
862	2.499679915
863	2.499217555
864	2.498861666
865	2.498353974
866	2.497965393
867	2.497501186
868	2.497123027
869	2.496725779
870	2.496351419
871	2.495936763
872	2.495624979
873	2.495131591
874	2.494654315
875	2.494176004
876	2.493828213
877	2.493173946
878	2.492811851
879	2.492416186
880	2.492029485
881	2.491542917
882	2.491152529
883	2.490728131
884	2.490322508
885	2.489811477
886	2.489403807
887	2.489008969
888	2.488710077
889	2.488363491
890	2.487947438
891	2.487546193
892	2.486977454
893	2.486492474
894	2.486078875
895	2.485652946
896	2.485422694
897	2.484983524
898	2.484549695
899	2.484229963
900	2.483789391
901	2.483349317
902	2.482709313
903	2.482290222
904	2.481719696
905	2.481281098
906	2.480735052
907	2.480485847
908	2.479790952
909	2.47944383
910	2.479242758
911	2.478843832
912	2.478564137
913	2.478116647
914	2.477846422
915	2.477431892
916	2.477050697
917	2.476745135
918	2.476490594
919	2.476058886
920	2.475607041
921	2.475194811
922	2.474747532
923	2.47398809
924	2.473464503
925	2.472890247
926	2.47253713
927	2.47190877
928	2.471528182
929	2.471278319
930	2.470702195
931	2.470203352
932	2.469650617
933	2.469086234
934	2.468882976
935	2.468423796
936	2.467848663
937	2.467450519
938	2.467146289
939	2.466798964
940	2.46648005
941	2.466280661
942	2.465824371
943	2.465440772
944	2.464998488
945	2.464575824
946	2.46403344
947	2.463684911
948	2.463145386
949	2.462742225
950	2.46215816
951	2.461561195
952	2.461128181
953	2.46061296
954	2.46020083
955	2.459795657
956	2.459290513
957	2.458671482
958	2.458395514
959	2.458050694
960	2.45758731
961	2.456529331
962	2.456143437
963	2.455717149
964	2.455320623
965	2.454612402
966	2.45425348
967	2.453725025
968	2.453177216
969	2.45272452
970	2.452424431
971	2.451959732
972	2.451343763
973	2.451036142
974	2.450573683
975	2.450178054
976	2.449849246
977	2.449536497
978	2.449274146
979	2.448912636
980	2.448455329
981	2.447969993
982	2.447551672
983	2.447105877
984	2.446817634
985	2.446667251
986	2.446220554
987	2.445736876
988	2.445310609
989	2.444949358
990	2.444645459
991	2.444292839
992	2.444037697
993	2.442462098
994	2.442122597
995	2.441814243
996	2.441259408
997	2.440850162
998	2.440284915
999	2.439965529
